symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JNJ,2019-05-10 00:00:00+00:00,139.05,139.25,136.41,138.43,4771626,122.2623116531,122.4381653916,119.9410423056,121.7171650639,4771626,0.0,1.0
JNJ,2019-05-13 00:00:00+00:00,137.2,138.06,136.53,137.85,5560421,120.6356645725,121.3918356478,120.0465545487,121.2071892224,5560421,0.0,1.0
JNJ,2019-05-14 00:00:00+00:00,136.82,137.84,136.73,137.04,7179438,120.3015424695,121.1983965355,120.2224082872,120.4949815817,7179438,0.0,1.0
JNJ,2019-05-15 00:00:00+00:00,136.91,137.49,135.33,136.9,6429352,120.3806766518,120.8906524932,118.9914321181,120.3718839648,6429352,0.0,1.0
JNJ,2019-05-16 00:00:00+00:00,138.21,139.19,136.97,137.39,6857180,121.5237259516,122.38540927,120.4334327733,120.802725624,6857180,0.0,1.0
JNJ,2019-05-17 00:00:00+00:00,138.61,139.03,136.86,137.0,6915286,121.8754334285,122.2447262793,120.3367132171,120.4598108341,6915286,0.0,1.0
JNJ,2019-05-20 00:00:00+00:00,138.42,138.96,137.68,138.61,4771127,121.708372377,122.1831774708,121.0577135448,121.8754334285,4771127,0.0,1.0
JNJ,2019-05-21 00:00:00+00:00,138.12,139.57,138.08,139.12,4859048,121.4445917693,122.7195313731,121.4094210217,122.3238604616,4859048,0.0,1.0
JNJ,2019-05-22 00:00:00+00:00,138.76,138.95,137.49,138.35,5456839,122.0073237324,122.1743847839,120.8906524932,121.6468235686,5456839,0.0,1.0
JNJ,2019-05-23 00:00:00+00:00,139.79,139.85,137.67,138.5,6951797,122.9129704854,122.9657266069,121.0489208578,121.7787138724,6951797,0.0,1.0
JNJ,2019-05-24 00:00:00+00:00,138.85,139.5,138.56,139.5,5473499,122.9217631723,123.4971981457,122.6650306457,123.4971981457,5473499,0.95,1.0
JNJ,2019-05-28 00:00:00+00:00,137.07,140.49,137.05,139.0,11919579,121.3459566296,124.3736298745,121.3282509381,123.0545558585,11919579,0.0,1.0
JNJ,2019-05-29 00:00:00+00:00,131.33,135.89,128.52,135.89,23247405,116.2644231719,120.3013208317,113.7767735175,120.3013208317,23247405,0.0,1.0
JNJ,2019-05-30 00:00:00+00:00,132.11,132.82,131.17,131.44,7361016,116.95494514,117.5834971879,116.12277764,116.3618044751,7361016,0.0,1.0
JNJ,2019-05-31 00:00:00+00:00,131.15,132.0,129.61,131.52,7810987,116.1050719485,116.8575638368,114.7417337037,116.432627241,7810987,0.0,1.0
JNJ,2019-06-03 00:00:00+00:00,131.44,132.4,131.04,131.5,8434761,116.3618044751,117.2116776666,116.0076906453,116.4149215495,8434761,0.0,1.0
JNJ,2019-06-04 00:00:00+00:00,133.73,134.3,132.58,132.6,6649100,118.3891061507,118.8937183582,117.37102889,117.3887345815,6649100,0.0,1.0
JNJ,2019-06-05 00:00:00+00:00,134.38,135.13,133.86,134.7,6860551,118.9645411242,119.6285045551,118.5041931454,119.247832188,6860551,0.0,1.0
JNJ,2019-06-06 00:00:00+00:00,136.68,137.66,134.59,134.9,9115846,121.0006956456,121.8682745286,119.1504508848,119.4248891029,9115846,0.0,1.0
JNJ,2019-06-07 00:00:00+00:00,138.55,139.59,137.14,137.59,6533960,122.6561777999,123.5768737574,121.4079265498,121.8063046084,6533960,0.0,1.0
JNJ,2019-06-10 00:00:00+00:00,139.02,139.15,137.6,138.6,4994790,123.0722615499,123.1873485446,121.8151574541,122.7004420286,4994790,0.0,1.0
JNJ,2019-06-11 00:00:00+00:00,139.78,140.66,139.5,139.68,8230527,123.7450778266,124.5241282522,123.4971981457,123.6565493691,8230527,0.0,1.0
JNJ,2019-06-12 00:00:00+00:00,141.68,142.91,140.3,140.3,9216636,125.4271185182,126.5160185448,124.2054258053,124.2054258053,9216636,0.0,1.0
JNJ,2019-06-13 00:00:00+00:00,140.71,141.95,140.21,141.72,7500807,124.5683924809,125.6661453533,124.1257501936,125.4625299011,7500807,0.0,1.0
JNJ,2019-06-14 00:00:00+00:00,140.09,141.49,140.04,141.23,6548166,124.0195160447,125.258914449,123.975251816,125.0287404596,6548166,0.0,1.0
JNJ,2019-06-17 00:00:00+00:00,139.44,140.24,139.21,140.0,5562791,123.4440810712,124.1523087309,123.2404656191,123.939840433,5562791,0.0,1.0
JNJ,2019-06-18 00:00:00+00:00,140.23,140.93,139.79,140.56,7122711,124.1434558851,124.7631550873,123.7539306723,124.4355997947,7122711,0.0,1.0
JNJ,2019-06-19 00:00:00+00:00,140.45,140.97,139.91,140.01,6393620,124.3382184915,124.7985664703,123.8601648213,123.9486932787,6393620,0.0,1.0
